,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


Kings County
 - 
Republican Party




Republican President


Citywide


Vote for 1"
"7th Congressional District"
"Assembly District 44"
"Public Counter",13
"Emergency",0
"Absentee/Military",1
"Federal",0
"Affidavit",0
"Total Ballots",14
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",14.00
,
"Donald J. Trump",7
"John R. Kasich",1
"Ben Carson",0
"Ted Cruz",6
,
,
,
"Total Votes",14
,

"Assembly District 48"
"Public Counter",2
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",2
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",2.00
,
"Donald J. Trump",0
"John R. Kasich",1
"Ben Carson",0
"Ted Cruz",1
,
,
,
"Total Votes",2
,

"Assembly District 49"
"Public Counter",156
"Emergency",0
"Absentee/Military",8
"Federal",1
"Affidavit",3
"Total Ballots",168
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",168.00
,
"Donald J. Trump",101
"John R. Kasich",25
"Ben Carson",1
"Ted Cruz",39
,
,
,
"Total Votes",166
"Unrecorded",2

"Assembly District 50"
"Public Counter",191
"Emergency",0
"Absentee/Military",4
"Federal",0
"Affidavit",8
"Total Ballots",203
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",203.00
,
"Donald J. Trump",77
"John R. Kasich",35
"Ben Carson",1
"Ted Cruz",88
,
,
,
"Total Votes",201
"Unrecorded",2

"Assembly District 51"
"Public Counter",410
"Emergency",0
"Absentee/Military",17
"Federal",3
"Affidavit",10
"Total Ballots",440
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",440.00
,
"Donald J. Trump",241
"John R. Kasich",87
"Ben Carson",13
"Ted Cruz",92
,
,
,
"Total Votes",433
"Unrecorded",7

"Assembly District 52"
"Public Counter",944
"Emergency",0
"Absentee/Military",48
"Federal",12
"Affidavit",43
"Total Ballots","1,047"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,047.00"
,
"Donald J. Trump",406
"John R. Kasich",499
"Ben Carson",9
"Ted Cruz",122
,
,
,
"Total Votes","1,036"
"Unrecorded",11

"Assembly District 53"
"Public Counter",260
"Emergency",0
"Absentee/Military",3
"Federal",1
"Affidavit",10
"Total Ballots",274
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",274.00
,
"Donald J. Trump",127
"John R. Kasich",63
"Ben Carson",9
"Ted Cruz",73
,
,
,
"Total Votes",272
"Unrecorded",2

"Assembly District 54"
"Public Counter",172
"Emergency",0
"Absentee/Military",7
"Federal",1
"Affidavit",5
"Total Ballots",185
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",185.00
,
"Donald J. Trump",94
"John R. Kasich",29
"Ben Carson",9
"Ted Cruz",53
,
,
,
"Total Votes",185
,

"Assembly District 55"
"Public Counter",5
"Emergency",0
"Absentee/Military",2
"Federal",0
"Affidavit",0
"Total Ballots",7
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",7.00
,
"Donald J. Trump",4
"John R. Kasich",0
"Ben Carson",0
"Ted Cruz",2
,
,
,
"Total Votes",6
"Unrecorded",1

"Assembly District 56"
"Public Counter",4
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",4
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",4.00
,
"Donald J. Trump",1
"John R. Kasich",0
"Ben Carson",0
"Ted Cruz",3
,
,
,
"Total Votes",4
,

"Total for 7th Congressional District-Kings County"
"Public Counter","2,157"
"Emergency",0
"Absentee/Military",90
"Federal",18
"Affidavit",79
"Total Ballots","2,344"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,344.00"
,
"Donald J. Trump","1,058"
"John R. Kasich",740
"Ben Carson",42
"Ted Cruz",479
,
,
,
"Total Votes","2,319"
"Unrecorded",25

"8th Congressional District"
"Assembly District 41"
"Public Counter",210
"Emergency",0
"Absentee/Military",7
"Federal",1
"Affidavit",6
"Total Ballots",224
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",224.00
,
"Donald J. Trump",168
"John R. Kasich",32
"Ben Carson",1
"Ted Cruz",22
,
,
,
"Total Votes",223
"Unrecorded",1

"Assembly District 45"
"Public Counter",781
"Emergency",0
"Absentee/Military",19
"Federal",2
"Affidavit",10
"Total Ballots",812
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",812.00
,
"Donald J. Trump",665
"John R. Kasich",51
"Ben Carson",2
"Ted Cruz",92
,
,
,
"Total Votes",810
"Unrecorded",2

"Assembly District 46"
"Public Counter","1,422"
"Emergency",0
"Absentee/Military",25
"Federal",6
"Affidavit",17
"Total Ballots","1,470"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,470.00"
,
"Donald J. Trump","1,201"
"John R. Kasich",83
"Ben Carson",8
"Ted Cruz",175
,
,
,
"Total Votes","1,467"
"Unrecorded",3

"Assembly District 50"
"Public Counter",21
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",1
"Total Ballots",22
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",22.00
,
"Donald J. Trump",8
"John R. Kasich",11
"Ben Carson",0
"Ted Cruz",3
,
,
,
"Total Votes",22
,

"Assembly District 52"
"Public Counter",83
"Emergency",0
"Absentee/Military",1
"Federal",0
"Affidavit",2
"Total Ballots",86
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",86.00
,
"Donald J. Trump",26
"John R. Kasich",47
"Ben Carson",0
"Ted Cruz",13
,
,
,
"Total Votes",86
,

"Assembly District 54"
"Public Counter",52
"Emergency",0
"Absentee/Military",4
"Federal",1
"Affidavit",1
"Total Ballots",58
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",58.00
,
"Donald J. Trump",31
"John R. Kasich",8
"Ben Carson",5
"Ted Cruz",12
,
,
,
"Total Votes",56
"Unrecorded",2

"Assembly District 55"
"Public Counter",73
"Emergency",0
"Absentee/Military",4
"Federal",0
"Affidavit",3
"Total Ballots",80
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",80.00
,
"Donald J. Trump",30
"John R. Kasich",19
"Ben Carson",6
"Ted Cruz",22
,
,
,
"Total Votes",77
"Unrecorded",3

"Assembly District 56"
"Public Counter",112
"Emergency",0
"Absentee/Military",5
"Federal",1
"Affidavit",5
"Total Ballots",123
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",123.00
,
"Donald J. Trump",46
"John R. Kasich",36
"Ben Carson",14
"Ted Cruz",24
,
,
,
"Total Votes",120
"Unrecorded",3

"Assembly District 57"
"Public Counter",195
"Emergency",0
"Absentee/Military",9
"Federal",1
"Affidavit",5
"Total Ballots",210
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",210.00
,
"Donald J. Trump",72
"John R. Kasich",81
"Ben Carson",10
"Ted Cruz",40
,
,
,
"Total Votes",203
"Unrecorded",7

"Assembly District 58"
"Public Counter",75
"Emergency",0
"Absentee/Military",2
"Federal",1
"Affidavit",2
"Total Ballots",80
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",80.00
,
"Donald J. Trump",43
"John R. Kasich",23
"Ben Carson",1
"Ted Cruz",13
,
,
,
"Total Votes",80
,

"Assembly District 59"
"Public Counter","1,659"
"Emergency",0
"Absentee/Military",36
"Federal",5
"Affidavit",32
"Total Ballots","1,732"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,732.00"
,
"Donald J. Trump","1,278"
"John R. Kasich",229
"Ben Carson",18
"Ted Cruz",199
,
,
,
"Total Votes","1,724"
"Unrecorded",8

"Assembly District 60"
"Public Counter",156
"Emergency",0
"Absentee/Military",6
"Federal",1
"Affidavit",2
"Total Ballots",165
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",165.00
,
"Donald J. Trump",110
"John R. Kasich",23
"Ben Carson",7
"Ted Cruz",25
,
,
,
"Total Votes",165
,

"Total for 8th Congressional District-Kings County"
"Public Counter","4,839"
"Emergency",0
"Absentee/Military",118
"Federal",19
"Affidavit",86
"Total Ballots","5,062"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","5,062.00"
,
"Donald J. Trump","3,678"
"John R. Kasich",643
"Ben Carson",72
"Ted Cruz",640
,
,
,
"Total Votes","5,033"
"Unrecorded",29

"9th Congressional District"
"Assembly District 41"
"Public Counter","2,008"
"Emergency",0
"Absentee/Military",49
"Federal",7
"Affidavit",27
"Total Ballots","2,091"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","2,091.00"
,
"Donald J. Trump","1,446"
"John R. Kasich",233
"Ben Carson",18
"Ted Cruz",387
,
,
,
"Total Votes","2,084"
"Unrecorded",7

"Assembly District 42"
"Public Counter",523
"Emergency",0
"Absentee/Military",20
"Federal",15
"Affidavit",15
"Total Ballots",573
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",573.00
,
"Donald J. Trump",261
"John R. Kasich",77
"Ben Carson",9
"Ted Cruz",223
,
,
,
"Total Votes",570
"Unrecorded",3

"Assembly District 43"
"Public Counter",412
"Emergency",0
"Absentee/Military",21
"Federal",7
"Affidavit",14
"Total Ballots",454
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",454.00
,
"Donald J. Trump",183
"John R. Kasich",76
"Ben Carson",8
"Ted Cruz",184
,
,
,
"Total Votes",451
"Unrecorded",3

"Assembly District 44"
"Public Counter",959
"Emergency",0
"Absentee/Military",30
"Federal",7
"Affidavit",26
"Total Ballots","1,022"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,022.00"
,
"Donald J. Trump",522
"John R. Kasich",283
"Ben Carson",19
"Ted Cruz",189
,
,
,
"Total Votes","1,013"
"Unrecorded",9

"Assembly District 45"
"Public Counter",455
"Emergency",0
"Absentee/Military",5
"Federal",3
"Affidavit",6
"Total Ballots",469
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",469.00
,
"Donald J. Trump",305
"John R. Kasich",40
"Ben Carson",2
"Ted Cruz",120
,
,
,
"Total Votes",467
"Unrecorded",2

"Assembly District 48"
"Public Counter",380
"Emergency",0
"Absentee/Military",4
"Federal",8
"Affidavit",3
"Total Ballots",395
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",395.00
,
"Donald J. Trump",190
"John R. Kasich",49
"Ben Carson",2
"Ted Cruz",152
,
,
,
"Total Votes",393
"Unrecorded",2

"Assembly District 51"
"Public Counter",4
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",4
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",4.00
,
"Donald J. Trump",3
"John R. Kasich",1
"Ben Carson",0
"Ted Cruz",0
,
,
,
"Total Votes",4
,

"Assembly District 52"
"Public Counter",228
"Emergency",0
"Absentee/Military",17
"Federal",1
"Affidavit",8
"Total Ballots",254
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",254.00
,
"Donald J. Trump",82
"John R. Kasich",128
"Ben Carson",1
"Ted Cruz",42
,
,
,
"Total Votes",253
"Unrecorded",1

"Assembly District 55"
"Public Counter",58
"Emergency",0
"Absentee/Military",2
"Federal",2
"Affidavit",2
"Total Ballots",64
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",64.00
,
"Donald J. Trump",37
"John R. Kasich",8
"Ben Carson",3
"Ted Cruz",13
,
,
,
"Total Votes",61
"Unrecorded",3

"Assembly District 56"
"Public Counter",22
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",22
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",22.00
,
"Donald J. Trump",9
"John R. Kasich",4
"Ben Carson",1
"Ted Cruz",8
,
,
,
"Total Votes",22
,

"Assembly District 57"
"Public Counter",133
"Emergency",0
"Absentee/Military",4
"Federal",0
"Affidavit",6
"Total Ballots",143
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",143.00
,
"Donald J. Trump",46
"John R. Kasich",59
"Ben Carson",3
"Ted Cruz",32
,
,
,
"Total Votes",140
"Unrecorded",3

"Assembly District 58"
"Public Counter",93
"Emergency",0
"Absentee/Military",7
"Federal",5
"Affidavit",3
"Total Ballots",108
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",108.00
,
"Donald J. Trump",60
"John R. Kasich",18
"Ben Carson",1
"Ted Cruz",25
,
,
,
"Total Votes",104
"Unrecorded",4

"Assembly District 59"
"Public Counter",433
"Emergency",0
"Absentee/Military",8
"Federal",0
"Affidavit",6
"Total Ballots",447
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",447.00
,
"Donald J. Trump",352
"John R. Kasich",58
"Ben Carson",0
"Ted Cruz",36
,
,
,
"Total Votes",446
"Unrecorded",1

"Assembly District 60"
"Public Counter",4
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",4
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",4.00
,
"Donald J. Trump",3
"John R. Kasich",0
"Ben Carson",0
"Ted Cruz",1
,
,
,
"Total Votes",4
,

"Total for 9th Congressional District-Kings County"
"Public Counter","5,712"
"Emergency",0
"Absentee/Military",167
"Federal",55
"Affidavit",116
"Total Ballots","6,050"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","6,050.00"
,
"Donald J. Trump","3,499"
"John R. Kasich","1,034"
"Ben Carson",67
"Ted Cruz","1,412"
,
,
,
"Total Votes","6,012"
"Unrecorded",38

"10th Congressional District"
"Assembly District 42"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0.00
,
"Donald J. Trump",0
"John R. Kasich",0
"Ben Carson",0
"Ted Cruz",0
,
,
,
"Total Votes",0
,

"Assembly District 44"
"Public Counter",600
"Emergency",0
"Absentee/Military",9
"Federal",8
"Affidavit",13
"Total Ballots",630
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",630.00
,
"Donald J. Trump",277
"John R. Kasich",76
"Ben Carson",4
"Ted Cruz",269
,
,
,
"Total Votes",626
"Unrecorded",4

"Assembly District 45"
"Public Counter",33
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",4
"Total Ballots",37
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",37.00
,
"Donald J. Trump",17
"John R. Kasich",3
"Ben Carson",0
"Ted Cruz",17
,
,
,
"Total Votes",37
,

"Assembly District 47"
"Public Counter",790
"Emergency",0
"Absentee/Military",17
"Federal",8
"Affidavit",17
"Total Ballots",832
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",832.00
,
"Donald J. Trump",619
"John R. Kasich",92
"Ben Carson",10
"Ted Cruz",109
,
,
,
"Total Votes",830
"Unrecorded",2

"Assembly District 48"
"Public Counter","1,822"
"Emergency",0
"Absentee/Military",32
"Federal",25
"Affidavit",29
"Total Ballots","1,908"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,908.00"
,
"Donald J. Trump",784
"John R. Kasich",132
"Ben Carson",6
"Ted Cruz",974
,
,
,
"Total Votes","1,896"
"Unrecorded",12

"Assembly District 49"
"Public Counter",755
"Emergency",0
"Absentee/Military",22
"Federal",1
"Affidavit",8
"Total Ballots",786
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",786.00
,
"Donald J. Trump",579
"John R. Kasich",80
"Ben Carson",5
"Ted Cruz",117
,
,
,
"Total Votes",781
"Unrecorded",5

"Assembly District 51"
"Public Counter",318
"Emergency",0
"Absentee/Military",8
"Federal",5
