,
"Statement and Return Report

for Certification



Presidential Primary Election 2016 - 04/19/2016


New York County
 - 
Republican Party




Republican President


Citywide


Vote for 1"
"7th Congressional District"
"Assembly District 65"
"Public Counter",672
"Emergency",0
"Absentee/Military",30
"Federal",6
"Affidavit",14
"Total Ballots",722
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",722.00
,
"Donald J. Trump",403
"John R. Kasich",168
"Ben Carson",18
"Ted Cruz",117
,
,
,
"Total Votes",706
"Unrecorded",16

"Assembly District 66"
"Public Counter",0
"Emergency",0
"Absentee/Military",0
"Federal",0
"Affidavit",0
"Total Ballots",0
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",0.00
,
"Donald J. Trump",0
"John R. Kasich",0
"Ben Carson",0
"Ted Cruz",0
,
,
,
"Total Votes",0
,

"Assembly District 74"
"Public Counter",40
"Emergency",0
"Absentee/Military",1
"Federal",0
"Affidavit",1
"Total Ballots",42
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",42.00
,
"Donald J. Trump",23
"John R. Kasich",7
"Ben Carson",1
"Ted Cruz",11
,
,
,
"Total Votes",42
,

"Total for 7th Congressional District-New York County"
"Public Counter",712
"Emergency",0
"Absentee/Military",31
"Federal",6
"Affidavit",15
"Total Ballots",764
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",764.00
,
"Donald J. Trump",426
"John R. Kasich",175
"Ben Carson",19
"Ted Cruz",128
,
,
,
"Total Votes",748
"Unrecorded",16

"10th Congressional District"
"Assembly District 65"
"Public Counter",983
"Emergency",0
"Absentee/Military",25
"Federal",7
"Affidavit",39
"Total Ballots","1,054"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,054.00"
,
"Donald J. Trump",455
"John R. Kasich",446
"Ben Carson",12
"Ted Cruz",136
,
,
,
"Total Votes","1,049"
"Unrecorded",5

"Assembly District 66"
"Public Counter","1,615"
"Emergency",0
"Absentee/Military",52
"Federal",22
"Affidavit",70
"Total Ballots","1,759"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,759.00"
,
"Donald J. Trump",590
"John R. Kasich",949
"Ben Carson",8
"Ted Cruz",201
,
,
,
"Total Votes","1,748"
"Unrecorded",11

"Assembly District 67"
"Public Counter","2,858"
"Emergency",2
"Absentee/Military",103
"Federal",47
"Affidavit",89
"Total Ballots","3,099"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","3,099.00"
,
"Donald J. Trump","1,214"
"John R. Kasich","1,435"
"Ben Carson",21
"Ted Cruz",414
,
,
,
"Total Votes","3,084"
"Unrecorded",15

"Assembly District 69"
"Public Counter","1,429"
"Emergency",0
"Absentee/Military",42
"Federal",36
"Affidavit",41
"Total Ballots","1,548"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,548.00"
,
"Donald J. Trump",516
"John R. Kasich",763
"Ben Carson",12
"Ted Cruz",246
,
,
,
"Total Votes","1,537"
"Unrecorded",11

"Assembly District 70"
"Public Counter",14
"Emergency",0
"Absentee/Military",2
"Federal",1
"Affidavit",0
"Total Ballots",17
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",17.00
,
"Donald J. Trump",5
"John R. Kasich",9
"Ben Carson",0
"Ted Cruz",3
,
,
,
"Total Votes",17
,

"Assembly District 75"
"Public Counter","1,031"
"Emergency",0
"Absentee/Military",35
"Federal",10
"Affidavit",35
"Total Ballots","1,111"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","1,111.00"
,
"Donald J. Trump",460
"John R. Kasich",473
"Ben Carson",13
"Ted Cruz",157
,
,
,
"Total Votes","1,103"
"Unrecorded",8

"Total for 10th Congressional District-New York County"
"Public Counter","7,930"
"Emergency",2
"Absentee/Military",259
"Federal",123
"Affidavit",274
"Total Ballots","8,588"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","8,588.00"
,
"Donald J. Trump","3,240"
"John R. Kasich","4,075"
"Ben Carson",66
"Ted Cruz","1,157"
,
,
,
"Total Votes","8,538"
"Unrecorded",50

"12th Congressional District"
"Assembly District 65"
"Public Counter",184
"Emergency",0
"Absentee/Military",7
"Federal",3
"Affidavit",10
"Total Ballots",204
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",204.00
,
"Donald J. Trump",83
"John R. Kasich",72
"Ben Carson",1
"Ted Cruz",43
,
,
,
"Total Votes",199
"Unrecorded",5

"Assembly District 66"
"Public Counter",563
"Emergency",0
"Absentee/Military",25
"Federal",12
"Affidavit",19
"Total Ballots",619
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots",619.00
,
"Donald J. Trump",224
"John R. Kasich",314
"Ben Carson",7
"Ted Cruz",65
,
,
,
"Total Votes",610
"Unrecorded",9

"Assembly District 67"
"Public Counter",64
"Emergency",0
"Absentee/Military",4
"Federal",2
"Affidavit",4
"Total Ballots",74
